Station;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding;010 Wedding
Messkomponente;Feinstaub (PM10);Feinstaub (PM2,5);Stickstoffdioxid;Stickstoffmonoxid;Stickoxide;Ozon
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³
Messzeit (Angaben in MESZ bzw. MEZ);Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.12.2020 00:00;19;17;20;2;24;15
01.12.2020 01:00;19;16;18;2;21;18
01.12.2020 02:00;19;17;17;2;20;21
01.12.2020 03:00;20;18;18;1;20;19
01.12.2020 04:00;22;20;19;1;21;17
01.12.2020 05:00;24;21;21;3;25;14
01.12.2020 06:00;26;24;21;5;29;16
01.12.2020 07:00;28;25;27;8;39;10
01.12.2020 08:00;29;26;27;8;40;9
01.12.2020 09:00;29;26;27;13;47;10
01.12.2020 10:00;28;24;26;12;45;12
01.12.2020 11:00;26;23;25;12;43;15
01.12.2020 12:00;26;23;25;13;44;13
01.12.2020 13:00;26;22;26;14;47;12
01.12.2020 14:00;26;22;27;14;48;11
01.12.2020 15:00;28;22;30;13;50;9
01.12.2020 16:00;28;22;34;13;53;5
01.12.2020 17:00;24;21;33;7;43;5
01.12.2020 18:00;25;22;30;5;38;6
01.12.2020 19:00;25;22;30;6;39;6
01.12.2020 20:00;26;23;29;6;38;5
01.12.2020 21:00;27;24;29;5;36;4
01.12.2020 22:00;27;24;29;7;39;2
01.12.2020 23:00;27;24;28;8;40;2
02.12.2020 00:00;29;26;29;8;42;1
02.12.2020 01:00;29;26;28;10;43;1
02.12.2020 02:00;30;27;27;11;44;1
02.12.2020 03:00;30;27;27;10;42;1
02.12.2020 04:00;30;27;26;10;42;1
02.12.2020 05:00;31;28;24;14;46;1
02.12.2020 06:00;31;28;24;15;47;1
02.12.2020 07:00;35;30;28;39;88;1
02.12.2020 08:00;40;32;32;48;106;1
02.12.2020 09:00;40;34;31;53;112;2
02.12.2020 10:00;41;36;29;45;98;2
02.12.2020 11:00;44;38;30;41;92;3
02.12.2020 12:00;49;40;29;39;89;4
02.12.2020 13:00;44;37;29;25;67;6
02.12.2020 14:00;41;34;32;18;59;9
02.12.2020 15:00;37;30;32;11;49;14
02.12.2020 16:00;37;32;34;9;47;9
02.12.2020 17:00;39;34;32;8;45;4
02.12.2020 18:00;41;36;33;8;45;5
02.12.2020 19:00;42;38;32;7;42;5
02.12.2020 20:00;45;41;31;4;38;5
02.12.2020 21:00;46;42;32;5;40;4
02.12.2020 22:00;44;41;32;4;39;4
02.12.2020 23:00;43;40;31;3;35;6
03.12.2020 00:00;47;43;31;3;36;5
03.12.2020 01:00;47;44;29;3;33;6
03.12.2020 02:00;46;42;28;2;32;8
03.12.2020 03:00;45;42;29;2;32;8
03.12.2020 04:00;47;43;27;1;29;11
03.12.2020 05:00;49;46;30;3;34;9
03.12.2020 06:00;54;50;36;6;45;5
03.12.2020 07:00;54;50;42;15;65;3
03.12.2020 08:00;52;48;43;20;74;2
03.12.2020 09:00;50;46;41;21;73;3
03.12.2020 10:00;49;45;36;20;67;6
03.12.2020 11:00;47;42;35;19;64;6
03.12.2020 12:00;42;37;31;15;54;10
03.12.2020 13:00;39;35;29;14;50;12
03.12.2020 14:00;38;34;28;13;49;13
03.12.2020 15:00;34;30;30;12;48;12
03.12.2020 16:00;33;30;31;10;46;11
03.12.2020 17:00;33;30;32;10;47;8
03.12.2020 18:00;33;30;34;11;50;7
03.12.2020 19:00;32;29;30;8;43;8
03.12.2020 20:00;33;30;27;6;36;11
03.12.2020 21:00;31;28;24;4;31;14
03.12.2020 22:00;30;27;22;3;26;16
03.12.2020 23:00;27;24;21;2;24;18
04.12.2020 00:00;26;24;22;2;25;16
04.12.2020 01:00;26;23;22;2;25;17
04.12.2020 02:00;26;23;25;2;28;14
04.12.2020 03:00;24;21;20;1;21;20
04.12.2020 04:00;25;23;24;2;27;14
04.12.2020 05:00;25;23;24;1;26;13
04.12.2020 06:00;31;24;26;2;29;12
04.12.2020 07:00;26;22;32;10;46;7
04.12.2020 08:00;26;22;38;16;62;3
04.12.2020 09:00;27;21;37;20;67;4
04.12.2020 10:00;26;21;32;15;55;8
04.12.2020 11:00;25;21;29;14;51;11
04.12.2020 12:00;26;20;30;12;49;12
04.12.2020 13:00;26;21;29;15;52;13
04.12.2020 14:00;26;21;32;16;57;11
04.12.2020 15:00;25;20;34;11;51;9
04.12.2020 16:00;23;19;33;7;44;11
04.12.2020 17:00;23;20;34;7;45;9
04.12.2020 18:00;24;21;39;10;55;3
04.12.2020 19:00;27;24;39;13;60;2
04.12.2020 20:00;27;24;36;8;48;5
04.12.2020 21:00;26;23;35;4;42;7
04.12.2020 22:00;27;24;33;3;38;8
04.12.2020 23:00;27;25;29;3;33;12
05.12.2020 00:00;29;26;27;2;30;12
05.12.2020 01:00;30;27;24;1;26;15
05.12.2020 02:00;30;27;23;1;25;16
05.12.2020 03:00;30;27;22;1;23;17
05.12.2020 04:00;29;26;21;1;22;19
05.12.2020 05:00;27;25;21;1;23;20
05.12.2020 06:00;26;24;21;1;22;23
05.12.2020 07:00;25;22;27;2;31;17
05.12.2020 08:00;25;22;31;4;37;12
05.12.2020 09:00;24;21;31;3;36;15
05.12.2020 10:00;25;21;33;10;48;14
05.12.2020 11:00;23;19;28;11;44;21
05.12.2020 12:00;22;19;24;10;39;27
05.12.2020 13:00;20;17;22;9;35;29
05.12.2020 14:00;21;19;25;11;42;23
05.12.2020 15:00;22;19;27;9;40;20
05.12.2020 16:00;24;21;34;9;48;12
05.12.2020 17:00;26;22;44;14;65;3
05.12.2020 18:00;25;21;46;20;77;2
05.12.2020 19:00;29;25;48;25;86;1
05.12.2020 20:00;32;28;50;39;110;1
05.12.2020 21:00;39;35;48;34;100;2
05.12.2020 22:00;39;36;44;19;73;2
05.12.2020 23:00;32;30;35;4;41;7
06.12.2020 00:00;27;25;28;2;31;11
06.12.2020 01:00;25;23;26;1;28;13
06.12.2020 02:00;26;23;20;1;22;17
06.12.2020 03:00;28;26;19;1;20;17
06.12.2020 04:00;28;25;18;2;21;22
06.12.2020 05:00;25;23;15;1;17;25
06.12.2020 06:00;24;21;14;1;15;28
06.12.2020 07:00;23;21;13;1;15;29
06.12.2020 08:00;23;21;14;1;16;29
06.12.2020 09:00;21;19;14;1;16;31
06.12.2020 10:00;19;17;15;2;18;34
06.12.2020 11:00;19;16;14;2;17;37
06.12.2020 12:00;18;16;18;4;25;36
06.12.2020 13:00;17;15;15;3;19;42
06.12.2020 14:00;17;14;16;2;20;43
06.12.2020 15:00;17;14;16;2;20;43
06.12.2020 16:00;17;15;17;2;20;38
06.12.2020 17:00;17;15;20;2;23;35
06.12.2020 18:00;16;14;17;1;19;39
06.12.2020 19:00;17;14;18;1;20;39
06.12.2020 20:00;17;14;15;1;17;42
06.12.2020 21:00;17;14;13;1;14;45
06.12.2020 22:00;18;15;14;1;16;43
06.12.2020 23:00;18;16;14;2;17;41
07.12.2020 00:00;18;15;14;1;15;41
07.12.2020 01:00;19;17;12;1;13;40
07.12.2020 02:00;21;18;12;1;13;39
07.12.2020 03:00;19;16;10;1;11;42
07.12.2020 04:00;20;17;12;1;13;37
07.12.2020 05:00;20;17;10;1;11;38
07.12.2020 06:00;20;18;12;1;13;34
07.12.2020 07:00;21;18;17;2;20;27
07.12.2020 08:00;22;19;21;4;27;21
07.12.2020 09:00;22;19;22;4;29;18
07.12.2020 10:00;22;19;22;5;29;18
07.12.2020 11:00;23;19;24;5;32;17
07.12.2020 12:00;24;19;28;8;41;13
07.12.2020 13:00;25;20;33;11;49;10
07.12.2020 14:00;24;20;31;12;49;10
07.12.2020 15:00;22;19;32;20;62;7
07.12.2020 16:00;15;12;28;20;58;5
07.12.2020 17:00;13;10;31;36;86;2
07.12.2020 18:00;13;10;32;34;84;1
07.12.2020 19:00;16;12;35;64;133;2
07.12.2020 20:00;19;14;41;103;197;2
07.12.2020 21:00;18;15;34;49;109;1
07.12.2020 22:00;17;14;34;42;98;1
07.12.2020 23:00;21;17;33;68;137;2
08.12.2020 00:00;26;22;36;107;200;2
08.12.2020 01:00;25;22;29;28;71;1
08.12.2020 02:00;27;24;24;6;33;2
08.12.2020 03:00;30;27;22;2;25;3
08.12.2020 04:00;32;29;21;2;23;5
08.12.2020 05:00;33;30;23;2;26;3
08.12.2020 06:00;34;30;22;3;27;4
08.12.2020 07:00;34;31;24;7;36;3
08.12.2020 08:00;34;31;25;9;38;3
08.12.2020 09:00;35;31;27;13;46;3
08.12.2020 10:00;35;31;22;13;42;6
08.12.2020 11:00;36;32;22;17;47;9
08.12.2020 12:00;35;31;20;14;42;12
08.12.2020 13:00;36;32;23;43;89;11
08.12.2020 14:00;37;32;24;12;43;14
08.12.2020 15:00;38;34;24;10;39;12
08.12.2020 16:00;40;36;28;11;45;6
08.12.2020 17:00;42;38;27;9;40;2
08.12.2020 18:00;40;37;26;7;37;3
08.12.2020 19:00;38;35;23;3;27;9
08.12.2020 20:00;40;37;24;3;28;7
08.12.2020 21:00;40;37;22;2;25;8
08.12.2020 22:00;40;37;21;2;24;9
08.12.2020 23:00;40;37;18;1;20;10
09.12.2020 00:00;40;36;19;1;20;9
09.12.2020 01:00;39;36;20;1;23;7
09.12.2020 02:00;39;36;20;2;23;6
09.12.2020 03:00;39;36;21;2;24;5
09.12.2020 04:00;38;35;22;2;25;4
09.12.2020 05:00;38;35;21;2;24;5
09.12.2020 06:00;40;37;22;3;26;4
09.12.2020 07:00;42;39;23;6;33;2
09.12.2020 08:00;43;40;26;11;43;2
09.12.2020 09:00;44;40;25;16;49;1
09.12.2020 10:00;44;40;23;14;44;3
09.12.2020 11:00;44;40;23;17;48;4
09.12.2020 12:00;42;39;22;14;44;5
09.12.2020 13:00;41;38;21;15;43;6
09.12.2020 14:00;41;37;24;15;46;4
09.12.2020 15:00;38;35;24;13;43;4
09.12.2020 16:00;38;34;26;13;46;2
09.12.2020 17:00;36;33;27;10;42;4
09.12.2020 18:00;35;32;23;5;30;7
09.12.2020 19:00;32;30;20;4;25;10
09.12.2020 20:00;34;31;18;3;22;11
09.12.2020 21:00;34;32;18;2;22;10
09.12.2020 22:00;35;32;18;2;21;10
09.12.2020 23:00;35;32;18;2;21;10
10.12.2020 00:00;37;34;16;1;19;11
10.12.2020 01:00;39;36;17;1;19;10
10.12.2020 02:00;43;40;16;2;19;9
10.12.2020 03:00;42;39;17;1;18;9
10.12.2020 04:00;41;38;14;1;15;12
10.12.2020 05:00;40;37;14;1;16;12
10.12.2020 06:00;40;37;18;2;21;10
10.12.2020 07:00;36;33;19;3;24;10
10.12.2020 08:00;;;;;;
10.12.2020 09:00;37;34;19;6;28;
10.12.2020 10:00;37;34;20;8;33;9
10.12.2020 11:00;39;35;22;10;37;7
10.12.2020 12:00;38;34;22;10;38;6
10.12.2020 13:00;37;33;22;9;36;6
10.12.2020 14:00;32;29;22;7;34;8
10.12.2020 15:00;28;25;20;5;27;10
10.12.2020 16:00;29;26;21;5;28;9
10.12.2020 17:00;29;27;21;4;27;8
10.12.2020 18:00;31;28;21;3;26;7
10.12.2020 19:00;29;26;20;3;24;10
10.12.2020 20:00;28;25;19;2;23;9
10.12.2020 21:00;27;25;18;2;21;10
10.12.2020 22:00;25;22;18;3;22;11
10.12.2020 23:00;23;20;18;3;23;12
11.12.2020 00:00;21;19;18;1;20;14
11.12.2020 01:00;21;19;13;1;15;18
11.12.2020 02:00;24;21;14;1;15;17
11.12.2020 03:00;23;21;15;2;18;15
11.12.2020 04:00;22;20;16;2;19;12
11.12.2020 05:00;21;18;16;2;19;12
11.12.2020 06:00;21;19;18;4;24;10
11.12.2020 07:00;21;19;22;7;32;6
11.12.2020 08:00;23;20;24;9;38;5
11.12.2020 09:00;26;22;26;13;46;3
11.12.2020 10:00;26;22;26;16;51;3
11.12.2020 11:00;28;24;25;16;49;5
11.12.2020 12:00;25;22;22;14;43;7
11.12.2020 13:00;26;23;22;13;42;6
11.12.2020 14:00;25;22;26;19;54;5
11.12.2020 15:00;26;23;28;19;56;4
11.12.2020 16:00;28;25;28;16;52;2
11.12.2020 17:00;31;28;28;12;47;1
11.12.2020 18:00;31;28;26;8;37;3
11.12.2020 19:00;30;28;27;8;38;2
11.12.2020 20:00;31;28;27;7;38;2
11.12.2020 21:00;32;29;25;5;32;3
11.12.2020 22:00;36;33;21;3;26;6
11.12.2020 23:00;36;33;23;3;28;5
12.12.2020 00:00;36;33;26;4;32;2
12.12.2020 01:00;38;35;25;5;34;1
12.12.2020 02:00;39;36;26;7;37;1
12.12.2020 03:00;40;37;26;8;38;1
12.12.2020 04:00;39;35;26;7;36;1
12.12.2020 05:00;36;33;26;6;35;1
12.12.2020 06:00;34;31;27;7;37;1
12.12.2020 07:00;34;31;27;6;36;2
12.12.2020 08:00;34;31;28;6;38;2
12.12.2020 09:00;36;33;27;7;38;4
12.12.2020 10:00;39;36;25;9;39;8
12.12.2020 11:00;39;36;23;9;37;10
12.12.2020 12:00;36;33;21;8;34;13
12.12.2020 13:00;35;32;22;10;37;15
12.12.2020 14:00;35;32;26;11;43;11
12.12.2020 15:00;31;29;23;6;32;14
12.12.2020 16:00;25;23;20;3;25;18
12.12.2020 17:00;23;21;23;2;26;14
12.12.2020 18:00;25;22;24;6;33;12
12.12.2020 19:00;25;23;23;3;27;11
12.12.2020 20:00;27;25;21;2;24;10
12.12.2020 21:00;32;29;24;3;29;5
12.12.2020 22:00;36;33;24;4;31;3
12.12.2020 23:00;38;35;23;5;31;2
13.12.2020 00:00;39;35;23;5;30;1
13.12.2020 01:00;39;36;22;7;33;1
13.12.2020 02:00;39;36;22;5;30;1
13.12.2020 03:00;39;36;21;4;27;1
13.12.2020 04:00;39;36;21;6;30;1
13.12.2020 05:00;38;35;21;6;30;1
13.12.2020 06:00;39;36;18;5;25;2
13.12.2020 07:00;40;37;17;5;26;2
13.12.2020 08:00;36;34;16;5;23;2
13.12.2020 09:00;34;31;16;6;26;3
13.12.2020 10:00;33;30;14;7;25;4
13.12.2020 11:00;33;31;13;9;26;5
13.12.2020 12:00;32;30;15;10;30;6
13.12.2020 13:00;32;30;17;12;35;6
13.12.2020 14:00;35;32;18;13;39;5
13.12.2020 15:00;35;32;18;10;34;4
13.12.2020 16:00;32;30;20;8;33;3
13.12.2020 17:00;32;30;22;7;32;2
13.12.2020 18:00;31;29;23;8;36;1
13.12.2020 19:00;32;29;25;12;44;1
13.12.2020 20:00;33;30;24;18;51;1
13.12.2020 21:00;33;31;22;11;38;1
13.12.2020 22:00;33;30;21;12;39;1
13.12.2020 23:00;35;32;19;12;37;1
14.12.2020 00:00;36;33;19;16;43;1
14.12.2020 01:00;37;34;18;18;46;1
14.12.2020 02:00;39;34;16;15;39;1
14.12.2020 03:00;35;31;15;15;38;1
14.12.2020 04:00;33;23;18;6;28;1
14.12.2020 05:00;32;23;18;8;31;1
14.12.2020 06:00;33;24;17;15;40;1
14.12.2020 07:00;22;19;21;24;57;1
14.12.2020 08:00;22;20;24;41;86;1
14.12.2020 09:00;23;20;26;51;103;1
14.12.2020 10:00;20;18;23;40;84;2
14.12.2020 11:00;19;17;24;32;72;3
14.12.2020 12:00;19;16;23;24;60;5
14.12.2020 13:00;16;14;21;20;52;
14.12.2020 14:00;15;13;22;17;47;
14.12.2020 15:00;14;12;25;16;49;6
14.12.2020 16:00;13;11;29;18;56;4
14.12.2020 17:00;15;13;31;21;63;1
14.12.2020 18:00;15;13;31;19;59;1
14.12.2020 19:00;16;13;32;18;59;1
14.12.2020 20:00;14;12;29;9;42;5
14.12.2020 21:00;13;11;25;6;34;8
14.12.2020 22:00;13;11;22;3;27;12
14.12.2020 23:00;15;12;24;4;29;11
15.12.2020 00:00;16;14;23;3;28;10
15.12.2020 01:00;16;14;21;2;23;13
15.12.2020 02:00;17;15;24;2;27;9
15.12.2020 03:00;18;16;23;2;27;8
15.12.2020 04:00;18;16;24;2;26;8
15.12.2020 05:00;19;16;24;3;29;8
15.12.2020 06:00;21;18;26;5;34;7
15.12.2020 07:00;21;19;31;14;52;3
15.12.2020 08:00;23;19;34;20;64;1
15.12.2020 09:00;25;20;35;20;66;2
15.12.2020 10:00;24;20;32;20;63;5
15.12.2020 11:00;24;21;27;17;53;9
15.12.2020 12:00;27;22;32;22;66;6
15.12.2020 13:00;25;20;34;21;67;7
15.12.2020 14:00;23;18;32;16;56;10
15.12.2020 15:00;23;18;36;18;63;7
15.12.2020 16:00;21;17;38;21;69;5
15.12.2020 17:00;24;19;40;21;72;2
15.12.2020 18:00;22;19;37;16;62;3
15.12.2020 19:00;23;19;40;26;80;1
15.12.2020 20:00;21;18;36;16;61;2
15.12.2020 21:00;21;18;30;10;45;5
15.12.2020 22:00;20;18;27;6;36;6
15.12.2020 23:00;20;17;26;8;38;5
16.12.2020 00:00;19;17;22;3;27;7
16.12.2020 01:00;19;16;22;3;27;5
16.12.2020 02:00;18;16;24;5;32;3
16.12.2020 03:00;18;16;22;3;26;5
16.12.2020 04:00;18;15;21;3;25;5
16.12.2020 05:00;19;17;23;5;30;3
16.12.2020 06:00;21;17;25;17;51;1
16.12.2020 07:00;20;17;28;34;80;1
16.12.2020 08:00;20;17;29;32;78;1
16.12.2020 09:00;19;17;31;28;74;1
16.12.2020 10:00;19;16;38;23;73;2
16.12.2020 11:00;17;15;34;19;63;14
16.12.2020 12:00;14;11;35;12;53;20
16.12.2020 13:00;20;15;47;21;79;6
16.12.2020 14:00;21;16;42;20;72;5
16.12.2020 15:00;19;15;33;10;49;8
16.12.2020 16:00;19;15;33;10;48;6
16.12.2020 17:00;19;16;33;8;44;3
16.12.2020 18:00;18;15;32;12;50;2
16.12.2020 19:00;18;16;29;8;41;2
16.12.2020 20:00;17;15;22;5;30;7
16.12.2020 21:00;21;19;19;4;25;10
16.12.2020 22:00;28;25;23;5;31;4
16.12.2020 23:00;27;24;22;3;26;6
17.12.2020 00:00;23;21;21;2;24;9
17.12.2020 01:00;20;18;17;1;19;16
17.12.2020 02:00;19;17;16;1;18;17
17.12.2020 03:00;18;16;17;1;18;16
17.12.2020 04:00;18;16;19;1;21;13
17.12.2020 05:00;19;17;17;1;19;13
17.12.2020 06:00;20;18;19;4;25;10
17.12.2020 07:00;21;18;26;11;42;4
17.12.2020 08:00;22;19;28;15;51;3
17.12.2020 09:00;22;19;31;20;61;2
17.12.2020 10:00;21;18;28;16;52;4
17.12.2020 11:00;21;18;25;16;50;7
17.12.2020 12:00;20;17;24;20;54;9
17.12.2020 13:00;18;15;24;17;50;12
17.12.2020 14:00;16;13;26;17;52;13
17.12.2020 15:00;18;13;32;23;66;8
17.12.2020 16:00;19;14;36;28;78;3
17.12.2020 17:00;17;13;34;27;76;2
17.12.2020 18:00;14;12;32;17;58;2
17.12.2020 19:00;14;12;31;12;50;2
17.12.2020 20:00;14;12;31;13;51;3
17.12.2020 21:00;14;12;24;6;34;10
17.12.2020 22:00;14;12;23;3;28;13
17.12.2020 23:00;15;13;21;3;26;16
18.12.2020 00:00;15;13;19;2;21;18
18.12.2020 01:00;15;13;18;1;20;16
18.12.2020 02:00;16;13;19;2;22;15
18.12.2020 03:00;16;14;22;2;25;12
18.12.2020 04:00;16;14;23;4;29;11
18.12.2020 05:00;16;14;23;3;28;12
18.12.2020 06:00;17;15;28;12;46;7
18.12.2020 07:00;18;15;34;19;64;3
18.12.2020 08:00;19;16;37;32;85;2
18.12.2020 09:00;21;18;35;31;83;2
18.12.2020 10:00;22;18;35;42;99;4
18.12.2020 11:00;22;18;32;30;77;8
18.12.2020 12:00;21;18;30;24;66;12
18.12.2020 13:00;19;16;25;16;50;18
18.12.2020 14:00;19;15;28;17;54;18
18.12.2020 15:00;18;13;35;22;69;15
18.12.2020 16:00;18;13;38;16;61;9
18.12.2020 17:00;19;15;36;10;50;5
18.12.2020 18:00;18;15;36;12;54;4
18.12.2020 19:00;19;16;40;14;62;2
18.12.2020 20:00;18;15;36;8;48;5
18.12.2020 21:00;18;16;38;8;50;3
18.12.2020 22:00;19;16;39;13;58;1
18.12.2020 23:00;19;16;37;9;50;2
19.12.2020 00:00;18;15;35;7;45;2
19.12.2020 01:00;18;16;31;4;37;5
19.12.2020 02:00;18;16;28;3;32;6
19.12.2020 03:00;18;16;29;5;36;6
19.12.2020 04:00;17;15;29;3;33;5
19.12.2020 05:00;17;15;28;4;35;6
19.12.2020 06:00;16;14;27;4;33;7
19.12.2020 07:00;16;14;32;11;50;3
19.12.2020 08:00;16;14;33;16;58;1
19.12.2020 09:00;16;14;32;14;54;3
19.12.2020 10:00;18;15;26;12;45;11
19.12.2020 11:00;16;14;24;15;47;13
19.12.2020 12:00;16;14;22;14;43;17
19.12.2020 13:00;15;13;24;16;48;17
19.12.2020 14:00;15;13;25;13;45;17
19.12.2020 15:00;16;14;28;14;49;15
19.12.2020 16:00;17;14;30;14;51;12
19.12.2020 17:00;16;13;29;8;40;11
19.12.2020 18:00;16;14;28;8;40;11
19.12.2020 19:00;18;16;28;9;42;9
19.12.2020 20:00;19;17;27;6;37;8
19.12.2020 21:00;20;17;28;8;40;6
19.12.2020 22:00;19;17;25;6;35;8
19.12.2020 23:00;18;16;24;4;31;8
20.12.2020 00:00;18;16;25;5;33;6
20.12.2020 01:00;18;16;24;5;32;6
20.12.2020 02:00;17;15;24;5;32;5
20.12.2020 03:00;17;15;24;3;29;5
20.12.2020 04:00;17;15;24;5;31;4
20.12.2020 05:00;17;15;24;5;31;4
20.12.2020 06:00;18;16;25;5;33;3
20.12.2020 07:00;20;18;22;4;29;5
20.12.2020 08:00;22;20;22;5;29;5
20.12.2020 09:00;23;21;21;8;32;7
20.12.2020 10:00;24;22;18;9;32;10
