Station,Brockau,,,,,,,,,,
Date,Time,WINDRI (GRAD),WINDRI (GRAD),WINDRI (GRAD),WINDGE (m/sec),WINDGE (m/sec),WINDGE (m/sec),NO (µg/m^3),NO2 (µg/m^3),O3 (µg/m^3),PM10_TEOM (µg/m^3)
12/31/20,23:00,195,NaN,92,4.2, NaN,2.2,1,7,41,14
12/31/20,22:00,192,NaN,95,3.9, NaN,1.6,1,8,43,14
12/31/20,21:00,189,NaN,98,3.9, NaN,1.4,1,7,44,13
12/31/20,20:00,203,NaN,98,3, NaN,1.4,1,7,42,13
12/31/20,19:00,206,NaN,96,2.4, NaN,1.7,1,9,38,14
12/31/20,18:00,206,NaN,102,2.1, NaN,1.3,1,9,38,13
12/31/20,17:00,186,NaN,103,3.2, NaN,1.4,1,7,44,11
12/31/20,16:00,183,NaN,100,3.3, NaN,1.4,1,7,46,11
12/31/20,15:00,188,NaN,95,4, NaN,2.5,1,7,46,10
12/31/20,14:00,195,NaN,96,5.1, NaN,2.1,1,6,46,10
12/31/20,13:00,187,NaN,96,4.6, NaN,2.7,2,6,41,10
12/31/20,12:00,190,NaN,98,4, NaN,2.2,1,5,44,9
12/31/20,11:00,191,NaN,97,3.2, NaN,2.1,1,6,42,8
12/31/20,10:00,190,NaN,98,2.9, NaN,1.8,1,6,41,8
12/31/20,9:00,193,NaN,94,2.2, NaN,1.8,1,6,48,9
12/31/20,8:00,204,NaN,98,2.9, NaN,1.3,1,6,46,8
12/31/20,7:00,203,NaN,95,2.8, NaN,1.5,1,6,46,8
12/31/20,6:00,210,NaN,95,3.9, NaN,1.5,1,10,40,10
12/31/20,5:00,205,NaN,94,3.7, NaN,1.5,1,8,37,8
12/31/20,4:00,208,NaN,100,2.5, NaN,0.8,1,7,40,8
12/31/20,3:00,204,NaN,103,2.8, NaN,0.6,1,6,41,8
12/31/20,2:00,205,NaN,101,3.3, NaN,0.6,1,6,41,10
12/31/20,1:00,208,NaN,240,4.1, NaN,0.3,1,7,42,10
12/31/20,0:00,208,NaN,101,4.5, NaN,0.7,1,11,37,10
12/30/20,23:00,202,NaN,105,4, NaN,0.5,1,9,40,10
12/30/20,22:00,204,NaN,110,3.8, NaN,0.5,1,10,40,9
12/30/20,21:00,201,NaN,100,4, NaN,0.9,1,10,41,10
12/30/20,20:00,203,NaN,114,3.8, NaN,0.5,1,11,40,10
12/30/20,19:00,204,NaN,121,3.8, NaN,0.5,1,11,39,10
12/30/20,18:00,202,NaN,101,3.3, NaN,0.7,1,11,39,10
12/30/20,17:00,202,NaN,103,3.4, NaN,0.8,1,10,40,11
12/30/20,16:00,210,NaN,100,4.8, NaN,1.1,1,11,38,9
12/30/20,15:00,213,NaN,117,4.9, NaN,0.5,1,9,39,8
12/30/20,14:00,211,NaN,119,5.4, NaN,0.6,2,9,39,10
12/30/20,13:00,206,NaN,105,5, NaN,0.9,2,9,36,13
12/30/20,12:00,205,NaN,102,4.1, NaN,1.3,3,9,32,13
12/30/20,11:00,201,NaN,99,3.5, NaN,1.6,3,9,31,13
12/30/20,10:00,185,NaN,97,3.7, NaN,1.9,2,10,31,14
12/30/20,9:00,190,NaN,96,3.4, NaN,1.7,1,13,25,13
12/30/20,8:00,203,NaN,94,3.4, NaN,1.9,1,14,25,12
12/30/20,7:00,202,NaN,95,3, NaN,1.6,1,9,32,9
12/30/20,6:00,200,NaN,96,3.2, NaN,1.4,1,8,35,8
12/30/20,5:00,198,NaN,98,3.3, NaN,0.9,1,7,38,8
12/30/20,4:00,181,NaN,96,3.3, NaN,1.1,1,8,37,7
12/30/20,3:00,200,NaN,95,3.2, NaN,1.3,1,7,37,8
12/30/20,2:00,192,NaN,95,4, NaN,1.5,1,7,38,8
12/30/20,1:00,191,NaN,94,4.2, NaN,1.9,1,6,42,6
12/30/20,0:00,193,NaN,93,4.2, NaN,1.8,1,5,47,6
12/29/20,23:00,194,NaN,94,3.2, NaN,2.2,1,4,52,5
12/29/20,22:00,204,NaN,103,4.1, NaN,0.6,1,5,54,6
12/29/20,21:00,202,NaN,95,4.1, NaN,1.4,1,7,48,6
12/29/20,20:00,203,NaN,97,5, NaN,1.2,1,7,48,4
12/29/20,19:00,206,NaN,101,6.2, NaN,0.9,1,8,46,5
12/29/20,18:00,207,NaN,117,5.4, NaN,0.5,1,8,43,5
12/29/20,17:00,210,NaN,286,6.3, NaN,1,1,8,42,4
12/29/20,16:00,212,NaN,290,7.2, NaN,1.7,1,7,44,5
12/29/20,15:00,211,NaN,283,7.2, NaN,1.2,1,7,47,3
12/29/20,14:00,214,NaN,287,7.9, NaN,1.3,1,5,50,2
12/29/20,13:00,214,NaN,107,7.8, NaN,0.6,1,6,52,2
12/29/20,12:00,209,NaN,98,6.5, NaN,1.1,1,5,53,2
12/29/20,11:00,195,NaN,96,4.9, NaN,1.9,1,4,52,5
12/29/20,10:00,193,NaN,96,4, NaN,1.9,1,5,50,6
12/29/20,9:00,190,NaN,99,3.7, NaN,1.7,1,7,43,8
12/29/20,8:00,187,NaN,99,4.7, NaN,1.1,1,7,44,9
12/29/20,7:00,186,NaN,95,5.8, NaN,1.5,1,7,44,9
12/29/20,6:00,194,NaN,95,4.1, NaN,1.5,1,7,43,13
12/29/20,5:00,185,NaN,95,2.6, NaN,1.6,1,8,36,16
12/29/20,4:00,189,NaN,93,3.2, NaN,1.6,1,10,27,17
12/29/20,3:00,196,NaN,93,3.2, NaN,1.7,1,8,27,17
12/29/20,2:00,200,NaN,94,4.3, NaN,1.6,1,8,30,18
12/29/20,1:00,198,NaN,98,3.9, NaN,1.5,1,8,30,20
12/29/20,0:00,202,NaN,105,3.7, NaN,1.1,1,9,28,18
