Datum Zeit; Brockau NO; Brockau NO2; Brockau O3; Brockau PM10_TEOM
; µg/m³; µg/m³; µg/m³; µg/m³
01-01-21 00:00; 1; 7; 40; 13
31-12-20 23:00; 1; 7; 41; 14
31-12-20 22:00; 1; 8; 43; 14
31-12-20 21:00; 1; 7; 44; 13
31-12-20 20:00; 1; 7; 42; 13
31-12-20 19:00; 1; 9; 38; 14
31-12-20 18:00; 1; 9; 38; 13
31-12-20 17:00; 1; 7; 44; 11
31-12-20 16:00; 1; 7; 46; 11
31-12-20 15:00; 1; 7; 46; 10
31-12-20 14:00; 1; 6; 46; 10
31-12-20 13:00; 2; 6; 41; 10
31-12-20 12:00; 1; 5; 44; 9
31-12-20 11:00; 1; 6; 42; 8
31-12-20 10:00; 1; 6; 41; 8
31-12-20 09:00; 1; 6; 48; 9
31-12-20 08:00; 1; 6; 46; 8
31-12-20 07:00; 1; 6; 46; 8
31-12-20 06:00; 1; 10; 40; 10
31-12-20 05:00; 1; 8; 37; 8
31-12-20 04:00; 1; 7; 40; 8
31-12-20 03:00; 1; 6; 41; 8
31-12-20 02:00; 1; 6; 41; 10
31-12-20 01:00; 1; 7; 42; 10
31-12-20 00:00; 1; 11; 37; 10
30-12-20 23:00; 1; 9; 40; 10
30-12-20 22:00; 1; 10; 40; 9
30-12-20 21:00; 1; 10; 41; 10
30-12-20 20:00; 1; 11; 40; 10
30-12-20 19:00; 1; 11; 39; 10
30-12-20 18:00; 1; 11; 39; 10
30-12-20 17:00; 1; 10; 40; 11
30-12-20 16:00; 1; 11; 38; 9
30-12-20 15:00; 1; 9; 39; 8
30-12-20 14:00; 2; 9; 39; 10
30-12-20 13:00; 2; 9; 36; 13
30-12-20 12:00; 3; 9; 32; 13
30-12-20 11:00; 3; 9; 31; 13
30-12-20 10:00; 2; 10; 31; 14
30-12-20 09:00; 1; 13; 25; 13
30-12-20 08:00; 1; 14; 25; 12
30-12-20 07:00; 1; 9; 32; 9
30-12-20 06:00; 1; 8; 35; 8
30-12-20 05:00; 1; 7; 38; 8
30-12-20 04:00; 1; 8; 37; 7
30-12-20 03:00; 1; 7; 37; 8
30-12-20 02:00; 1; 7; 38; 8
30-12-20 01:00; 1; 6; 42; 6
30-12-20 00:00; 1; 5; 47; 6
29-12-20 23:00; 1; 4; 52; 5
29-12-20 22:00; 1; 5; 54; 6
29-12-20 21:00; 1; 7; 48; 6
29-12-20 20:00; 1; 7; 48; 4
29-12-20 19:00; 1; 8; 46; 5
29-12-20 18:00; 1; 8; 43; 5
29-12-20 17:00; 1; 8; 42; 4
29-12-20 16:00; 1; 7; 44; 5
29-12-20 15:00; 1; 7; 47; 3
29-12-20 14:00; 1; 5; 50; 2
29-12-20 13:00; 1; 6; 52; 2
29-12-20 12:00; 1; 5; 53; 2
29-12-20 11:00; 1; 4; 52; 5
29-12-20 10:00; 1; 5; 50; 6
29-12-20 09:00; 1; 7; 43; 8
29-12-20 08:00; 1; 7; 44; 9
29-12-20 07:00; 1; 7; 44; 9
29-12-20 06:00; 1; 7; 43; 13
29-12-20 05:00; 1; 8; 36; 16
29-12-20 04:00; 1; 10; 27; 17
29-12-20 03:00; 1; 8; 27; 17
29-12-20 02:00; 1; 8; 30; 18
29-12-20 01:00; 1; 8; 30; 20
29-12-20 00:00; 1; 9; 28; 18
28-12-20 23:00; 1; 9; 27; 20
28-12-20 22:00; 1; 12; 21; 20
28-12-20 21:00; 1; 13; 22; 17
28-12-20 20:00; 1; 10; 27; 17
28-12-20 19:00; 1; 11; 31; 16
28-12-20 18:00; 1; 11; 30; 7
28-12-20 17:00; 1; 11; 29; 13
28-12-20 16:00; 1; 9; 35; 12
28-12-20 15:00; 1; 9; 35; 11
28-12-20 14:00; 1; 6; 40; 9
28-12-20 13:00; 3; 8; 38; 12
28-12-20 12:00; 3; 8; 35; 11
28-12-20 11:00; 2; 8; 35; 10
28-12-20 10:00; 1; 9; 37; 10
28-12-20 09:00; 1; 8; 39; 10
28-12-20 08:00; 1; 6; 40; 11
28-12-20 07:00; 1; 6; 40; 10
28-12-20 06:00; 1; 5; 41; 10
28-12-20 05:00; 1; 6; 39; 10
28-12-20 04:00; 1; 6; 40; 10
28-12-20 03:00; 1; 5; 41; 10
28-12-20 02:00; 1; 7; 41; 5
28-12-20 01:00; 1; 5; 47; 4
28-12-20 00:00; 1; 7; 47; 5
27-12-20 23:00; 1; 6; 49; 6
27-12-20 22:00; 1; 7; 52; 8
27-12-20 21:00; 1; 5; 59; 7
27-12-20 20:00; 1; 5; 55; 9
27-12-20 19:00; 1; 4; 57; 6
27-12-20 18:00; 1; 3; 61; 5
27-12-20 17:00; 1; 4; 58; 4
27-12-20 16:00; 1; 4; 58; 5
27-12-20 15:00; 1; 4; 57; 5
27-12-20 14:00; 1; 4; 55; 8
27-12-20 13:00; 1; 5; 54; 8
27-12-20 12:00; 1; 5; 53; 6
27-12-20 11:00; 1; 5; 51; 8
27-12-20 10:00; 1; 7; 49; 10
27-12-20 09:00; 1; 7; 47; 9
27-12-20 08:00; 1; 6; 47; 9
27-12-20 07:00; 1; 6; 48; 10
27-12-20 06:00; 1; 5; 50; 11
27-12-20 05:00; 1; 5; 54; 13
27-12-20 04:00; 1; 5; 56; 10
27-12-20 03:00; 1; 6; 55; 11
27-12-20 02:00; 1; 6; 53; 10
27-12-20 01:00; 1; 4; 59; 9
27-12-20 00:00; 1; 4; 59; 10
26-12-20 23:00; 1; 6; 57; 13
26-12-20 22:00; 1; 7; 54; 15
26-12-20 21:00; 1; 8; 50; 17
26-12-20 20:00; 1; 8; 48; 17
26-12-20 19:00; 1; 8; 47; 13
26-12-20 18:00; 1; 8; 48; 8
26-12-20 17:00; 1; 7; 49; 1
26-12-20 16:00; 1; 6; 48; 12
26-12-20 15:00; 1; 4; 46; 13
26-12-20 14:00; 1; 4; 48; 10
26-12-20 13:00; 1; 7; 46; 6
26-12-20 12:00; 1; 6; 47; 8
26-12-20 11:00; 1; 5; 46; 7
26-12-20 10:00; 1; 5; 46; 7
26-12-20 09:00; 1; 6; 47; 5
26-12-20 08:00; 1; 5; 50; 0
26-12-20 07:00; 1; 5; 52; 5
26-12-20 06:00; 1; 8; 48; 8
26-12-20 05:00; 1; 6; 50; 7
26-12-20 04:00; 1; 4; 47; 6
