Datum Zeit; Brockau WINDRI; Liebschützberg WINDRI; Leipzig-Luetzner Straße WINDRI
; GRAD; GRAD; GRAD
01-01-21 00:00; 195; NaN; 94
31-12-20 23:00; 195; NaN; 92
31-12-20 22:00; 192; NaN; 95
31-12-20 21:00; 189; NaN; 98
31-12-20 20:00; 203; NaN; 98
31-12-20 19:00; 206; NaN; 96
31-12-20 18:00; 206; NaN; 102
31-12-20 17:00; 186; NaN; 103
31-12-20 16:00; 183; NaN; 100
31-12-20 15:00; 188; NaN; 95
31-12-20 14:00; 195; NaN; 96
31-12-20 13:00; 187; NaN; 96
31-12-20 12:00; 190; NaN; 98
31-12-20 11:00; 191; NaN; 97
31-12-20 10:00; 190; NaN; 98
31-12-20 09:00; 193; NaN; 94
31-12-20 08:00; 204; NaN; 98
31-12-20 07:00; 203; NaN; 95
31-12-20 06:00; 210; NaN; 95
31-12-20 05:00; 205; NaN; 94
31-12-20 04:00; 208; NaN; 100
31-12-20 03:00; 204; NaN; 103
31-12-20 02:00; 205; NaN; 101
31-12-20 01:00; 208; NaN; 240
31-12-20 00:00; 208; NaN; 101
30-12-20 23:00; 202; NaN; 105
30-12-20 22:00; 204; NaN; 110
30-12-20 21:00; 201; NaN; 100
30-12-20 20:00; 203; NaN; 114
30-12-20 19:00; 204; NaN; 121
30-12-20 18:00; 202; NaN; 101
30-12-20 17:00; 202; NaN; 103
30-12-20 16:00; 210; NaN; 100
30-12-20 15:00; 213; NaN; 117
30-12-20 14:00; 211; NaN; 119
30-12-20 13:00; 206; NaN; 105
30-12-20 12:00; 205; NaN; 102
30-12-20 11:00; 201; NaN; 99
30-12-20 10:00; 185; NaN; 97
30-12-20 09:00; 190; NaN; 96
30-12-20 08:00; 203; NaN; 94
30-12-20 07:00; 202; NaN; 95
30-12-20 06:00; 200; NaN; 96
30-12-20 05:00; 198; NaN; 98
30-12-20 04:00; 181; NaN; 96
30-12-20 03:00; 200; NaN; 95
30-12-20 02:00; 192; NaN; 95
30-12-20 01:00; 191; NaN; 94
30-12-20 00:00; 193; NaN; 93
29-12-20 23:00; 194; NaN; 94
29-12-20 22:00; 204; NaN; 103
29-12-20 21:00; 202; NaN; 95
29-12-20 20:00; 203; NaN; 97
29-12-20 19:00; 206; NaN; 101
29-12-20 18:00; 207; NaN; 117
29-12-20 17:00; 210; NaN; 286
29-12-20 16:00; 212; NaN; 290
29-12-20 15:00; 211; NaN; 283
29-12-20 14:00; 214; NaN; 287
29-12-20 13:00; 214; NaN; 107
29-12-20 12:00; 209; NaN; 98
29-12-20 11:00; 195; NaN; 96
29-12-20 10:00; 193; NaN; 96
29-12-20 09:00; 190; NaN; 99
29-12-20 08:00; 187; NaN; 99
29-12-20 07:00; 186; NaN; 95
29-12-20 06:00; 194; NaN; 95
29-12-20 05:00; 185; NaN; 95
29-12-20 04:00; 189; NaN; 93
29-12-20 03:00; 196; NaN; 93
29-12-20 02:00; 200; NaN; 94
29-12-20 01:00; 198; NaN; 98
29-12-20 00:00; 202; NaN; 105
28-12-20 23:00; 201; NaN; 101
28-12-20 22:00; 198; NaN; 107
28-12-20 21:00; 208; NaN; 105
28-12-20 20:00; 224; NaN; 108
28-12-20 19:00; 204; NaN; 111
28-12-20 18:00; 182; NaN; 110
28-12-20 17:00; 207; NaN; 110
28-12-20 16:00; 201; NaN; 111
28-12-20 15:00; 204; NaN; 110
28-12-20 14:00; 204; NaN; 108
28-12-20 13:00; 209; NaN; 105
28-12-20 12:00; 214; NaN; 98
28-12-20 11:00; 193; NaN; 94
28-12-20 10:00; 203; NaN; 97
28-12-20 09:00; 204; NaN; 103
28-12-20 08:00; 199; NaN; 98
28-12-20 07:00; 194; NaN; 99
28-12-20 06:00; 200; NaN; 100
28-12-20 05:00; 195; NaN; 100
28-12-20 04:00; 199; NaN; 99
28-12-20 03:00; 188; NaN; 104
28-12-20 02:00; 211; NaN; 96
28-12-20 01:00; 208; NaN; 97
28-12-20 00:00; 205; NaN; 99
27-12-20 23:00; 195; NaN; 98
27-12-20 22:00; 217; NaN; 98
27-12-20 21:00; 187; NaN; 98
27-12-20 20:00; 204; NaN; 101
27-12-20 19:00; 201; NaN; 108
27-12-20 18:00; 194; NaN; 102
27-12-20 17:00; 189; NaN; 99
27-12-20 16:00; 191; NaN; 98
27-12-20 15:00; 188; NaN; 94
27-12-20 14:00; 186; NaN; 96
27-12-20 13:00; 190; NaN; 94
27-12-20 12:00; 189; NaN; 93
27-12-20 11:00; 188; NaN; 94
27-12-20 10:00; 192; NaN; 95
27-12-20 09:00; 189; NaN; 94
27-12-20 08:00; 192; NaN; 95
27-12-20 07:00; 194; NaN; 94
27-12-20 06:00; 205; NaN; 95
27-12-20 05:00; 207; NaN; 95
27-12-20 04:00; 208; NaN; 95
27-12-20 03:00; 210; NaN; 95
27-12-20 02:00; 209; NaN; 98
27-12-20 01:00; 217; NaN; 96
27-12-20 00:00; 218; NaN; 95
26-12-20 23:00; 215; NaN; 95
26-12-20 22:00; 214; NaN; 96
26-12-20 21:00; 215; NaN; 98
26-12-20 20:00; 210; NaN; 98
26-12-20 19:00; 208; NaN; 99
26-12-20 18:00; 216; NaN; 101
26-12-20 17:00; 216; NaN; 102
26-12-20 16:00; 219; NaN; 138
26-12-20 15:00; 221; NaN; 287
26-12-20 14:00; 228; NaN; 290
26-12-20 13:00; 214; NaN; 289
26-12-20 12:00; 208; NaN; 287
26-12-20 11:00; 203; NaN; 289
26-12-20 10:00; 194; NaN; 289
26-12-20 09:00; 196; NaN; 107
26-12-20 08:00; 195; NaN; 109
26-12-20 07:00; 205; NaN; 272
26-12-20 06:00; 208; NaN; 287
26-12-20 05:00; 217; NaN; 289
26-12-20 04:00; 227; NaN; 268
26-12-20 03:00; 234; NaN; 291
26-12-20 02:00; 247; NaN; 292
26-12-20 01:00; 246; NaN; 291
26-12-20 00:00; 276; NaN; 289
25-12-20 23:00; 275; NaN; 286
25-12-20 22:00; 282; NaN; 283
25-12-20 21:00; 280; NaN; 283
25-12-20 20:00; 292; NaN; 283
25-12-20 19:00; 309; NaN; 283
25-12-20 18:00; 332; NaN; 285
25-12-20 17:00; 347; NaN; 285
25-12-20 16:00; 343; NaN; 282
25-12-20 15:00; 351; NaN; 276
25-12-20 14:00; 352; NaN; 272
25-12-20 13:00; 354; NaN; 271
25-12-20 12:00; 333; NaN; 268
25-12-20 11:00; 340; NaN; 267
25-12-20 10:00; 343; NaN; 266
25-12-20 09:00; 354; NaN; 263
25-12-20 08:00; 331; NaN; 262
25-12-20 07:00; 327; NaN; 262
25-12-20 06:00; 324; NaN; 262
25-12-20 05:00; 318; NaN; 262
25-12-20 04:00; 306; NaN; 266
25-12-20 03:00; 320; NaN; 266
25-12-20 02:00; 336; NaN; 280
25-12-20 01:00; 346; NaN; 286
25-12-20 00:00; 319; NaN; 289
24-12-20 23:00; 302; NaN; 288
24-12-20 22:00; 331; NaN; 288
24-12-20 21:00; 12; NaN; 287
24-12-20 20:00; 343; NaN; 285
24-12-20 19:00; 330; NaN; 284
24-12-20 18:00; 321; NaN; 279
24-12-20 17:00; 331; NaN; 280
24-12-20 16:00; 292; NaN; 279
24-12-20 15:00; 233; NaN; 279
24-12-20 14:00; 228; NaN; 275
24-12-20 13:00; 225; NaN; 290
24-12-20 12:00; 222; NaN; 289
24-12-20 11:00; 220; NaN; 277
24-12-20 10:00; 218; NaN; 136
24-12-20 09:00; 223; NaN; 170
24-12-20 08:00; 229; NaN; 294
24-12-20 07:00; 236; NaN; 296
24-12-20 06:00; 224; NaN; 296
24-12-20 05:00; 221; NaN; 280
24-12-20 04:00; 213; NaN; 101
24-12-20 03:00; 215; NaN; 117
24-12-20 02:00; 219; NaN; 269
24-12-20 01:00; 221; NaN; 290
24-12-20 00:00; 225; NaN; 246
23-12-20 23:00; 213; NaN; 292
23-12-20 22:00; 222; NaN; 295
23-12-20 21:00; 227; NaN; 100
23-12-20 20:00; 217; NaN; 93
23-12-20 19:00; 205; NaN; 98
23-12-20 18:00; 208; NaN; 102
23-12-20 17:00; 200; NaN; 101
23-12-20 16:00; 198; NaN; 93
23-12-20 15:00; 199; NaN; 101
23-12-20 14:00; 198; NaN; 101
23-12-20 13:00; 190; NaN; 99
23-12-20 12:00; 235; NaN; 100
23-12-20 11:00; 194; NaN; 98
23-12-20 10:00; 201; NaN; 98
23-12-20 09:00; 217; NaN; 104
23-12-20 08:00; 218; NaN; 111
23-12-20 07:00; 207; NaN; 122
23-12-20 06:00; 177; NaN; 166
23-12-20 05:00; 182; NaN; 100
23-12-20 04:00; 212; NaN; 100
23-12-20 03:00; 204; NaN; 125
23-12-20 02:00; 225; NaN; 112
23-12-20 01:00; 242; NaN; 116
23-12-20 00:00; 229; NaN; 190
22-12-20 23:00; 217; NaN; 229
22-12-20 22:00; 217; NaN; 259
22-12-20 21:00; 212; NaN; 285
22-12-20 20:00; 216; NaN; 296
22-12-20 19:00; 219; NaN; 297
22-12-20 18:00; 217; NaN; 295
22-12-20 17:00; 220; NaN; 296
22-12-20 16:00; 228; NaN; 294
22-12-20 15:00; 227; NaN; 292
22-12-20 14:00; 226; NaN; 291
22-12-20 13:00; 224; NaN; 287
22-12-20 12:00; 223; NaN; 103
22-12-20 11:00; 219; NaN; 98
22-12-20 10:00; 218; NaN; 100
22-12-20 09:00; 215; NaN; 103
22-12-20 08:00; 207; NaN; 102
22-12-20 07:00; 208; NaN; 98
22-12-20 06:00; 206; NaN; 96
22-12-20 05:00; 204; NaN; 92
22-12-20 04:00; 207; NaN; 92
22-12-20 03:00; 205; NaN; 92
22-12-20 02:00; 199; NaN; 92
22-12-20 01:00; 198; NaN; 92
22-12-20 00:00; 196; NaN; 92
21-12-20 23:00; 190; NaN; 96
21-12-20 22:00; 191; NaN; 96
21-12-20 21:00; 196; NaN; 95
21-12-20 20:00; 192; NaN; 94
21-12-20 19:00; 194; NaN; 93
21-12-20 18:00; 192; NaN; 94
21-12-20 17:00; 191; NaN; 99
21-12-20 16:00; 186; NaN; 99
21-12-20 15:00; 193; NaN; 99
21-12-20 14:00; 194; NaN; 99
21-12-20 13:00; 201; NaN; 103
21-12-20 12:00; 193; NaN; 110
21-12-20 11:00; 206; NaN; 101
21-12-20 10:00; 204; NaN; 98
21-12-20 09:00; 197; NaN; 98
21-12-20 08:00; 203; NaN; 98
21-12-20 07:00; 210; NaN; 103
21-12-20 06:00; 201; NaN; 97
21-12-20 05:00; 204; NaN; 100
21-12-20 04:00; 205; NaN; 98
21-12-20 03:00; 208; NaN; 94
21-12-20 02:00; 206; NaN; 94
21-12-20 01:00; 202; NaN; 95
21-12-20 00:00; 202; NaN; 94
20-12-20 23:00; 202; NaN; 103
20-12-20 22:00; 209; NaN; 121
20-12-20 21:00; 216; NaN; 120
20-12-20 20:00; 211; NaN; 96
20-12-20 19:00; 223; NaN; 96
20-12-20 18:00; 219; NaN; 95
20-12-20 17:00; 221; NaN; 95
20-12-20 16:00; 214; NaN; 95
20-12-20 15:00; 214; NaN; 97
20-12-20 14:00; 214; NaN; 95
20-12-20 13:00; 213; NaN; 96
20-12-20 12:00; 215; NaN; 97
20-12-20 11:00; 212; NaN; 95
20-12-20 10:00; 211; NaN; 98
20-12-20 09:00; 215; NaN; 94
20-12-20 08:00; 218; NaN; 94
20-12-20 07:00; 216; NaN; 93
20-12-20 06:00; 215; NaN; 93
20-12-20 05:00; 214; NaN; 95
20-12-20 04:00; 216; NaN; 92
20-12-20 03:00; 203; NaN; 93
20-12-20 02:00; 207; NaN; 95
20-12-20 01:00; 200; NaN; 94
20-12-20 00:00; 205; NaN; 94
19-12-20 23:00; 202; NaN; 95
19-12-20 22:00; 202; NaN; 98
19-12-20 21:00; 204; NaN; 95
19-12-20 20:00; 207; NaN; 95
19-12-20 19:00; 208; NaN; 96
19-12-20 18:00; 208; NaN; 95
19-12-20 17:00; 216; NaN; 95
19-12-20 16:00; 216; NaN; 95
19-12-20 15:00; 217; NaN; 97
19-12-20 14:00; 212; NaN; 98
19-12-20 13:00; 207; NaN; 96
19-12-20 12:00; 211; NaN; 97
19-12-20 11:00; 208; NaN; 99
19-12-20 10:00; 208; NaN; 99
19-12-20 09:00; 211; NaN; 104
19-12-20 08:00; 209; NaN; 101
19-12-20 07:00; 208; NaN; 101
19-12-20 06:00; 207; NaN; 99
19-12-20 05:00; 205; NaN; 101
19-12-20 04:00; 206; NaN; 100
19-12-20 03:00; 209; NaN; 99
19-12-20 02:00; 207; NaN; 98
19-12-20 01:00; 207; NaN; 100
19-12-20 00:00; 203; NaN; 97
18-12-20 23:00; 199; NaN; 93
18-12-20 22:00; 203; NaN; 94
18-12-20 21:00; 207; NaN; 93
18-12-20 20:00; 204; NaN; 93
18-12-20 19:00; 205; NaN; 94
18-12-20 18:00; 207; NaN; 105
18-12-20 17:00; 200; NaN; 105
18-12-20 16:00; 197; NaN; 99
18-12-20 15:00; 195; NaN; 99
18-12-20 14:00; 197; NaN; 100
18-12-20 13:00; 200; NaN; 101
18-12-20 12:00; 214; NaN; 101
18-12-20 11:00; 207; NaN; 97
18-12-20 10:00; 208; NaN; 96
18-12-20 09:00; 207; NaN; 97
18-12-20 08:00; 209; NaN; 96
18-12-20 07:00; 211; NaN; 100
18-12-20 06:00; 216; NaN; 101
18-12-20 05:00; 225; NaN; 97
